Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
Toronto Raptors*,47,35,.573,5.0,97.6,95.4,1.69,2001,Eastern,
Charlotte Hornets*,46,36,.561,6.0,91.9,89.8,1.45,2001,Eastern,
Indiana Pacers*,41,41,.500,11.0,92.6,92.8,-0.77,2001,Eastern,
Detroit Pistons,32,50,.390,20.0,95.6,97.3,-2.08,2001,Eastern,
Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,-4.48,2001,Eastern,
Atlanta Hawks,25,57,.305,27.0,91.0,96.2,-5.55,2001,Eastern,
Chicago Bulls,15,67,.183,37.0,87.6,96.7,-9.09,2001,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2001,Western,Midwest Division
,58,24,.707,—,96.2,88.4,7.92,2001,Western,San Antonio Spurs*
,53,29,.646,5.0,97.1,92.4,5.00,2001,Western,Utah Jazz*
,53,29,.646,5.0,100.5,96.2,4.61,2001,Western,Dallas Mavericks*
,47,35,.573,11.0,97.3,96.0,1.81,2001,Western,Minnesota Timberwolves*
,45,37,.549,13.0,97.2,94.9,2.71,2001,Western,Houston Rockets
,40,42,.488,18.0,96.6,99.0,-1.83,2001,Western,Denver Nuggets
,23,59,.280,35.0,91.7,97.5,-4.94,2001,Western,Vancouver Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Western,Pacific Division
,56,26,.683,—,100.6,97.2,3.74,2001,Western,Los Angeles Lakers*
,55,27,.671,1.0,101.7,95.9,6.07,2001,Western,Sacramento Kings*
,51,31,.622,5.0,94.0,91.8,2.63,2001,Western,Phoenix Suns*
,50,32,.610,6.0,95.4,91.2,4.52,2001,Western,Portland Trail Blazers*
,44,38,.537,12.0,97.3,97.3,0.55,2001,Western,Seattle SuperSonics
,31,51,.378,25.0,92.5,95.3,-2.23,2001,Western,Los Angeles Clippers
,17,65,.207,39.0,92.5,101.5,-8.11,2001,Western,Golden State Warriors
New Jersey Nets*,52,30,.634,—,96.2,92.0,3.67,2002,Eastern,
Boston Celtics*,49,33,.598,3.0,96.4,94.1,1.75,2002,Eastern,
Orlando Magic*,44,38,.537,8.0,100.5,98.9,1.25,2002,Eastern,
Philadelphia 76ers*,43,39,.524,9.0,91.0,89.4,1.27,2002,Eastern,
Washington Wizards,37,45,.451,15.0,92.8,94.2,-1.58,2002,Eastern,
Miami Heat,36,46,.439,16.0,87.2,88.7,-1.84,2002,Eastern,
New York Knicks,30,52,.366,22.0,91.6,95.6,-4.15,2002,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002,Eastern,
Detroit Pistons*,50,32,.610,—,94.3,92.2,1.69,2002,Eastern,
Charlotte Hornets*,44,38,.537,6.0,93.9,92.9,0.57,2002,Eastern,
Toronto Raptors*,42,40,.512,8.0,91.4,91.8,-0.71,2002,Eastern,
Indiana Pacers*,42,40,.512,8.0,96.8,96.5,-0.07,2002,Eastern,
Milwaukee Bucks,41,41,.500,9.0,97.5,97.7,-0.62,2002,Eastern,
Atlanta Hawks,33,49,.402,17.0,94.0,98.3,-4.41,2002,Eastern,
Cleveland Cavaliers,29,53,.354,21.0,95.3,98.6,-3.52,2002,Eastern,
Chicago Bulls,21,61,.256,29.0,89.5,98.0,-8.52,2002,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2002,Western,Midwest Division
,58,24,.707,—,96.7,90.5,6.28,2002,Western,San Antonio Spurs*
,57,25,.695,1.0,105.2,101.0,4.41,2002,Western,Dallas Mavericks*
,50,32,.610,8.0,99.3,96.0,3.58,2002,Western,Minnesota Timberwolves*
,44,38,.537,14.0,96.0,95.1,1.21,2002,Western,Utah Jazz*
,28,54,.341,30.0,92.3,97.2,-4.31,2002,Western,Houston Rockets
,27,55,.329,31.0,92.2,98.0,-5.19,2002,Western,Denver Nuggets
,23,59,.280,35.0,89.9,97.3,-6.74,2002,Western,Memphis Grizzlies
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Western,Pacific Division
,61,21,.744,—,104.6,97.0,7.61,2002,Western,Sacramento Kings*
,58,24,.707,3.0,101.3,94.1,7.15,2002,Western,Los Angeles Lakers*
,49,33,.598,12.0,96.6,93.7,3.21,2002,Western,Portland Trail Blazers*
,45,37,.549,16.0,97.7,94.7,3.24,2002,Western,Seattle SuperSonics*
,39,43,.476,22.0,95.7,96.1,-0.09,2002,Western,Los Angeles Clippers
,36,46,.439,25.0,95.1,95.8,-0.30,2002,Western,Phoenix Suns
,21,61,.256,40.0,97.7,103.1,-4.80,2002,Western,Golden State Warriors
New Jersey Nets*,49,33,.598,—,95.4,90.1,4.42,2003,Eastern,
Philadelphia 76ers*,48,34,.585,1.0,96.8,94.5,1.76,2003,Eastern,
Boston Celtics*,44,38,.537,5.0,92.7,93.1,-0.75,2003,Eastern,
Orlando Magic*,42,40,.512,7.0,98.5,98.4,-0.39,2003,Eastern,
Washington Wizards,37,45,.451,12.0,91.5,92.5,-1.47,2003,Eastern,
New York Knicks,37,45,.451,12.0,95.9,97.2,-1.61,2003,Eastern,
Miami Heat,25,57,.305,24.0,85.6,90.6,-5.13,2003,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003,Eastern,
Detroit Pistons*,50,32,.610,—,91.4,87.7,2.97,2003,Eastern,
Indiana Pacers*,48,34,.585,2.0,96.8,93.3,2.79,2003,Eastern,
New Orleans Hornets*,47,35,.573,3.0,93.9,91.8,1.52,2003,Eastern,
Milwaukee Bucks*,42,40,.512,8.0,99.5,99.3,-0.24,2003,Eastern,
Atlanta Hawks,35,47,.427,15.0,94.1,97.6,-3.87,2003,Eastern,
Chicago Bulls,30,52,.366,20.0,95.0,100.1,-5.31,2003,Eastern,
Toronto Raptors,24,58,.293,26.0,90.9,96.8,-6.10,2003,Eastern,
Cleveland Cavaliers,17,65,.207,33.0,91.4,101.0,-9.59,2003,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2003,Western,Midwest Division
,60,22,.732,—,95.8,90.4,5.65,2003,Western,San Antonio Spurs*
,60,22,.732,—,103.0,95.2,7.90,2003,Western,Dallas Mavericks*
,51,31,.622,9.0,98.1,96.0,2.46,2003,Western,Minnesota Timberwolves*
,47,35,.573,13.0,94.7,92.3,2.76,2003,Western,Utah Jazz*
,43,39,.524,17.0,93.8,92.3,1.89,2003,Western,Houston Rockets
,28,54,.341,32.0,97.5,100.7,-2.60,2003,Western,Memphis Grizzlies
,17,65,.207,43.0,84.2,92.4,-7.41,2003,Western,Denver Nuggets
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Western,Pacific Division
,59,23,.720,—,101.7,95.2,6.68,2003,Western,Sacramento Kings*
,50,32,.610,9.0,100.4,98.0,2.71,2003,Western,Los Angeles Lakers*
,50,32,.610,9.0,95.2,92.5,2.97,2003,Western,Portland Trail Blazers*
,44,38,.537,15.0,95.5,94.4,1.57,2003,Western,Phoenix Suns*
,40,42,.488,19.0,92.1,92.3,0.37,2003,Western,Seattle SuperSonics
,38,44,.463,21.0,102.4,103.6,-0.60,2003,Western,Golden State Warriors
,27,55,.329,32.0,93.8,97.9,-3.45,2003,Western,Los Angeles Clippers
New Jersey Nets*,47,35,.573,—,90.3,87.8,1.88,2004,Eastern,
Miami Heat*,42,40,.512,5.0,90.3,89.7,-0.13,2004,Eastern,
New York Knicks*,39,43,.476,8.0,92.0,93.5,-1.97,2004,Eastern,
Boston Celtics*,36,46,.439,11.0,95.3,96.7,-1.99,2004,Eastern,
Philadelphia 76ers,33,49,.402,14.0,88.0,90.5,-2.95,2004,Eastern,
Washington Wizards,25,57,.305,22.0,91.8,97.4,-6.12,2004,Eastern,
Orlando Magic,21,61,.256,26.0,94.0,101.1,-7.25,2004,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004,Eastern,
Indiana Pacers*,61,21,.744,—,91.4,85.6,4.93,2004,Eastern,
Detroit Pistons*,54,28,.659,7.0,90.1,84.3,5.04,2004,Eastern,
New Orleans Hornets*,41,41,.500,20.0,91.8,91.9,-0.72,2004,Eastern,
Milwaukee Bucks*,41,41,.500,20.0,98.0,97.0,0.42,2004,Eastern,
Cleveland Cavaliers,35,47,.427,26.0,92.9,95.5,-3.07,2004,Eastern,
Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,2004,Eastern,
Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,2004,Eastern,
Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,2004,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,2004,Western,Midwest Division
,58,24,.707,—,94.5,89.1,5.86,2004,Western,Minnesota Timberwolves*
,57,25,.695,1.0,91.5,84.3,7.51,2004,Western,San Antonio Spurs*
,52,30,.634,6.0,105.2,100.8,4.86,2004,Western,Dallas Mavericks*
,50,32,.610,8.0,96.7,94.3,2.95,2004,Western,Memphis Grizzlies*
,45,37,.549,13.0,89.8,88.0,2.28,2004,Western,Houston Rockets*
,43,39,.524,15.0,97.2,96.1,1.65,2004,Western,Denver Nuggets*
,42,40,.512,16.0,88.7,89.9,-0.53,2004,Western,Utah Jazz
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Western,Pacific Division
,56,26,.683,—,98.2,94.3,4.35,2004,Western,Los Angeles Lakers*
,55,27,.671,1.0,102.8,97.8,5.41,2004,Western,Sacramento Kings*
,41,41,.500,15.0,90.7,92.0,-0.58,2004,Western,Portland Trail Blazers
,37,45,.451,19.0,93.3,94.0,-0.07,2004,Western,Golden State Warriors
,37,45,.451,19.0,97.1,97.8,0.02,2004,Western,Seattle SuperSonics
,29,53,.354,27.0,94.2,97.9,-2.94,2004,Western,Phoenix Suns
,28,54,.341,28.0,94.8,99.4,-3.74,2004,Western,Los Angeles Clippers
Boston Celtics*,45,37,.549,—,101.3,100.4,0.35,2005,Eastern,
Philadelphia 76ers*,43,39,.524,2.0,99.1,99.9,-1.07,2005,Eastern,
New Jersey Nets*,42,40,.512,3.0,91.4,92.9,-1.82,2005,Eastern,
Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81,2005,Eastern,
New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72,2005,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Eastern,
Detroit Pistons*,54,28,.659,—,93.3,89.5,3.31,2005,Eastern,
Chicago Bulls*,47,35,.573,7.0,94.5,93.4,0.65,2005,Eastern,
Indiana Pacers*,44,38,.537,10.0,93.0,92.2,0.49,2005,Eastern,
Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27,2005,Eastern,
Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09,2005,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Eastern,
Miami Heat*,59,23,.720,—,101.5,95.0,5.77,2005,Eastern,
Washington Wizards*,45,37,.549,14.0,100.5,100.8,-0.71,2005,Eastern,
Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52,2005,Eastern,
Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15,2005,Eastern,
Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62,2005,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Western,Northwest Division
,52,30,.634,—,98.9,96.6,2.59,2005,Western,Seattle SuperSonics*
,49,33,.598,3.0,99.5,97.5,2.23,2005,Western,Denver Nuggets*
,44,38,.537,8.0,96.8,95.3,1.73,2005,Western,Minnesota Timberwolves
,27,55,.329,25.0,92.9,96.9,-3.45,2005,Western,Portland Trail Blazers
,26,56,.317,26.0,93.0,97.3,-3.74,2005,Western,Utah Jazz
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Western,Pacific Division
,62,20,.756,—,110.4,103.3,7.08,2005,Western,Phoenix Suns*
,50,32,.610,12.0,103.7,101.6,2.56,2005,Western,Sacramento Kings*
,37,45,.451,25.0,95.7,96.5,-0.47,2005,Western,Los Angeles Clippers
,34,48,.415,28.0,98.7,101.7,-2.32,2005,Western,Los Angeles Lakers
,34,48,.415,28.0,98.7,100.9,-1.74,2005,Western,Golden State Warriors
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Western,Southwest Division
,59,23,.720,—,96.2,88.4,7.84,2005,Western,San Antonio Spurs*
,58,24,.707,1.0,102.5,96.8,5.86,2005,Western,Dallas Mavericks*
,51,31,.622,8.0,95.1,91.0,4.27,2005,Western,Houston Rockets*
,45,37,.549,14.0,93.4,91.1,2.64,2005,Western,Memphis Grizzlies*
,18,64,.220,41.0,88.4,95.5,-6.30,2005,Western,New Orleans Hornets
New Jersey Nets*,49,33,.598,—,93.8,92.4,1.11,2006,Eastern,
Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,2006,Eastern,
Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,2006,Eastern,
Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,2006,Eastern,
New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,2006,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2006,Eastern,
Detroit Pistons*,64,18,.780,—,96.8,90.2,6.24,2006,Eastern,
Cleveland Cavaliers*,50,32,.610,14.0,97.6,95.4,2.17,2006,Eastern,
Indiana Pacers*,41,41,.500,23.0,93.9,92.0,1.62,2006,Eastern,
Chicago Bulls*,41,41,.500,23.0,97.8,97.2,0.51,2006,Eastern,
Milwaukee Bucks*,40,42,.488,24.0,97.8,98.8,-1.07,2006,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2006,Eastern,
Miami Heat*,52,30,.634,—,99.9,96.0,3.59,2006,Eastern,
Washington Wizards*,42,40,.512,10.0,101.7,99.8,1.57,2006,Eastern,
Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,2006,Eastern,
Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,2006,Eastern,
Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,2006,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2006,Western,Northwest Division
,44,38,.537,—,100.3,100.1,0.36,2006,Western,Denver Nuggets*
,41,41,.500,3.0,92.4,95.0,-2.49,2006,Western,Utah Jazz
,35,47,.427,9.0,102.6,105.6,-2.88,2006,Western,Seattle SuperSonics
,33,49,.402,11.0,91.7,93.6,-1.75,2006,Western,Minnesota Timberwolves
,21,61,.256,23.0,88.8,98.3,-8.91,2006,Western,Portland Trail Blazers
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2006,Western,Pacific Division
,54,28,.659,—,108.4,102.8,5.48,2006,Western,Phoenix Suns*
,47,35,.573,7.0,97.2,95.6,1.75,2006,Western,Los Angeles Clippers*
,45,37,.549,9.0,99.4,96.9,2.53,2006,Western,Los Angeles Lakers*
,44,38,.537,10.0,98.9,97.3,1.61,2006,Western,Sacramento Kings*
,34,48,.415,20.0,98.5,99.8,-1.11,2006,Western,Golden State Warriors
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2006,Western,Southwest Division
,63,19,.768,—,95.6,88.8,6.69,2006,Western,San Antonio Spurs*
,60,22,.732,3.0,99.1,93.1,5.96,2006,Western,Dallas Mavericks*
,49,33,.598,14.0,92.2,88.5,3.74,2006,Western,Memphis Grizzlies*
,38,44,.463,25.0,92.8,95.6,-2.51,2006,Western,New Orleans/Oklahoma City Hornets
,34,48,.415,29.0,90.1,91.7,-1.30,2006,Western,Houston Rockets
Toronto Raptors*,47,35,.573,—,99.5,98.5,0.61,2007,Eastern,
New Jersey Nets*,41,41,.500,6.0,97.6,98.3,-1.00,2007,Eastern,
Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,2007,Eastern,
New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,2007,Eastern,
Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,2007,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2007,Eastern,
Detroit Pistons*,53,29,.646,—,96.0,91.8,3.69,2007,Eastern,
Cleveland Cavaliers*,50,32,.610,3.0,96.8,92.9,3.33,2007,Eastern,
Chicago Bulls*,49,33,.598,4.0,98.8,93.8,4.52,2007,Eastern,
Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,2007,Eastern,
Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,2007,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2007,Eastern,
Miami Heat*,44,38,.537,—,94.6,95.5,-1.21,2007,Eastern,
Washington Wizards*,41,41,.500,3.0,104.3,104.9,-0.80,2007,Eastern,
Orlando Magic*,40,42,.488,4.0,94.8,94.0,0.35,2007,Eastern,
Charlotte Bobcats,33,49,.402,11.0,96.9,100.6,-3.97,2007,Eastern,
Atlanta Hawks,30,52,.366,14.0,93.7,98.4,-4.86,2007,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2007,Western,Northwest Division
,51,31,.622,—,101.5,98.6,3.06,2007,Western,Utah Jazz*
,45,37,.549,6.0,105.4,103.7,1.69,2007,Western,Denver Nuggets*
,32,50,.390,19.0,94.1,98.4,-3.78,2007,Western,Portland Trail Blazers
,32,50,.390,19.0,96.1,99.7,-3.16,2007,Western,Minnesota Timberwolves
,31,51,.378,20.0,99.1,102.0,-2.45,2007,Western,Seattle SuperSonics
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2007,Western,Pacific Division
,61,21,.744,—,110.2,102.9,7.28,2007,Western,Phoenix Suns*
,42,40,.512,19.0,103.3,103.4,0.24,2007,Western,Los Angeles Lakers*
,42,40,.512,19.0,106.5,106.9,0.00,2007,Western,Golden State Warriors*
,40,42,.488,21.0,95.6,96.1,-0.07,2007,Western,Los Angeles Clippers
,33,49,.402,28.0,101.3,103.1,-1.35,2007,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2007,Western,Southwest Division
,67,15,.817,—,100.0,92.8,7.28,2007,Western,Dallas Mavericks*
,58,24,.707,9.0,98.5,90.1,8.35,2007,Western,San Antonio Spurs*
,52,30,.634,15.0,97.0,92.1,5.04,2007,Western,Houston Rockets*
,39,43,.476,28.0,95.5,97.1,-1.19,2007,Western,New Orleans/Oklahoma City Hornets
,22,60,.268,45.0,101.6,106.7,-4.44,2007,Western,Memphis Grizzlies
Boston Celtics*,66,16,.805,—,100.5,90.3,9.30,2008,Eastern,
Toronto Raptors*,41,41,.500,25.0,100.2,97.3,2.47,2008,Eastern,
Philadelphia 76ers*,40,42,.488,26.0,96.6,96.2,0.19,2008,Eastern,
New Jersey Nets,34,48,.415,32.0,95.8,100.9,-5.15,2008,Eastern,
New York Knicks,23,59,.280,43.0,96.9,103.5,-6.55,2008,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2008,Eastern,
Detroit Pistons*,59,23,.720,—,97.5,90.1,6.67,2008,Eastern,
Cleveland Cavaliers*,45,37,.549,14.0,96.4,96.7,-0.53,2008,Eastern,
Indiana Pacers,36,46,.439,23.0,104.0,105.4,-1.87,2008,Eastern,
Chicago Bulls,33,49,.402,26.0,97.3,100.4,-3.19,2008,Eastern,
Milwaukee Bucks,26,56,.317,33.0,97.0,103.9,-6.92,2008,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2008,Eastern,
Orlando Magic*,52,30,.634,—,104.5,99.0,4.79,2008,Eastern,
Washington Wizards*,43,39,.524,9.0,98.8,99.2,-0.61,2008,Eastern,
Atlanta Hawks*,37,45,.451,15.0,98.2,100.0,-2.23,2008,Eastern,
Charlotte Bobcats,32,50,.390,20.0,97.1,101.4,-4.49,2008,Eastern,
Miami Heat,15,67,.183,37.0,91.4,100.0,-8.53,2008,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2008,Western,Northwest Division
,54,28,.659,—,106.2,99.3,6.86,2008,Western,Utah Jazz*
,50,32,.610,4.0,110.7,107.0,3.74,2008,Western,Denver Nuggets*
,41,41,.500,13.0,95.4,96.3,-0.52,2008,Western,Portland Trail Blazers
,22,60,.268,32.0,95.6,102.4,-6.26,2008,Western,Minnesota Timberwolves
,20,62,.244,34.0,97.5,106.3,-8.04,2008,Western,Seattle SuperSonics
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2008,Western,Pacific Division
,57,25,.695,—,108.6,101.3,7.34,2008,Western,Los Angeles Lakers*
,55,27,.671,2.0,110.1,105.0,5.14,2008,Western,Phoenix Suns*
,48,34,.585,9.0,111.0,108.8,2.38,2008,Western,Golden State Warriors
,38,44,.463,19.0,102.5,104.8,-1.86,2008,Western,Sacramento Kings
,23,59,.280,34.0,93.8,101.1,-6.56,2008,Western,Los Angeles Clippers
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2008,Western,Southwest Division
,56,26,.683,—,100.9,95.6,5.46,2008,Western,New Orleans Hornets*
,56,26,.683,—,95.4,90.6,5.10,2008,Western,San Antonio Spurs*
,55,27,.671,1.0,96.7,92.0,4.83,2008,Western,Houston Rockets*
,51,31,.622,5.0,100.4,95.9,4.70,2008,Western,Dallas Mavericks*
,22,60,.268,34.0,100.7,106.9,-5.76,2008,Western,Memphis Grizzlies
Boston Celtics*,62,20,.756,—,100.9,93.4,7.44,2009,Eastern,
Philadelphia 76ers*,41,41,.500,21.0,97.4,97.3,0.16,2009,Eastern,
New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31,2009,Eastern,
Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54,2009,Eastern,
New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33,2009,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2009,Eastern,
Cleveland Cavaliers*,66,16,.805,—,100.3,91.4,8.68,2009,Eastern,
Chicago Bulls*,41,41,.500,25.0,102.2,102.5,-0.16,2009,Eastern,
Detroit Pistons*,39,43,.476,27.0,94.2,94.7,-0.36,2009,Eastern,
Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76,2009,Eastern,
Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88,2009,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2009,Eastern,
Orlando Magic*,59,23,.720,—,101.0,94.4,6.48,2009,Eastern,
Atlanta Hawks*,47,35,.573,12.0,98.1,96.5,1.70,2009,Eastern,
Miami Heat*,43,39,.524,16.0,98.3,98.0,0.49,2009,Eastern,
Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20,2009,Eastern,
Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98,2009,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Western,Northwest Division
,54,28,.659,—,104.3,100.9,3.13,2009,Western,Denver Nuggets*
,54,28,.659,—,99.4,94.1,5.00,2009,Western,Portland Trail Blazers*
,48,34,.585,6.0,103.6,100.9,2.31,2009,Western,Utah Jazz*
,24,58,.293,30.0,97.8,102.7,-4.74,2009,Western,Minnesota Timberwolves
,23,59,.280,31.0,97.0,103.1,-6.04,2009,Western,Oklahoma City Thunder
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Western,Pacific Division
,65,17,.793,—,106.9,99.3,7.11,2009,Western,Los Angeles Lakers*
,46,36,.561,19.0,109.4,107.5,1.62,2009,Western,Phoenix Suns
,29,53,.354,36.0,108.6,112.3,-3.80,2009,Western,Golden State Warriors
,19,63,.232,46.0,95.1,103.9,-8.47,2009,Western,Los Angeles Clippers
,17,65,.207,48.0,100.6,109.3,-8.60,2009,Western,Sacramento Kings
,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Western,Southwest Division
,54,28,.659,—,97.0,93.3,3.36,2009,Western,San Antonio Spurs*
,53,29,.646,1.0,98.4,94.4,3.73,2009,Western,Houston Rockets*
,50,32,.610,4.0,101.7,99.8,1.68,2009,Western,Dallas Mavericks*
,49,33,.598,5.0,95.8,94.3,1.41,2009,Western,New Orleans Hornets*
,24,58,.293,30.0,93.9,99.3,-5.23,2009,Western,Memphis Grizzlies
Boston Celtics*,50,32,.610,—,99.2,95.6,3.37,2010,Eastern,
Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,2010,Eastern,
New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,2010,Eastern,
Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,2010,Eastern,
New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,2010,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2010,Eastern,
Cleveland Cavaliers*,61,21,.744,—,102.1,95.6,6.17,2010,Eastern,
Milwaukee Bucks*,46,36,.561,15.0,97.7,96.0,1.37,2010,Eastern,
Chicago Bulls*,41,41,.500,20.0,97.5,99.1,-1.64,2010,Eastern,
Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,2010,Eastern,
Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,2010,Eastern,
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2010,Eastern,
Orlando Magic*,59,23,.720,—,102.8,95.3,7.12,2010,Eastern,
Atlanta Hawks*,53,29,.646,6.0,101.7,97.0,4.44,2010,Eastern,
Miami Heat*,47,35,.573,12.0,96.5,94.2,1.99,2010,Eastern,
Charlotte Bobcats*,44,38,.537,15.0,95.3,93.8,1.30,2010,Eastern,
Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,2010,Eastern,
,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Western,Northwest Division
,53,29,.646,—,106.5,102.4,4.15,2010,Western,Denver Nuggets*
,53,29,.646,—,104.2,98.9,5.33,2010,Western,Utah Jazz*
,50,32,.610,3.0,98.1,94.8,3.18,2010,Western,Portland Trail Blazers*
,50,32,.610,3.0,101.5,98.0,3.55,2010,Western,Oklahoma City Thunder*
,15,67,.183,38.0,98.2,107.8,-9.06,2010,Western,Minnesota Timberwolves
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Western,Pacific Division
,57,25,.695,—,101.7,97.0,4.78,2010,Western,Los Angeles Lakers*
