Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,1993,Eastern,
Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,1993,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1993,Western,Midwest Division
,55,27,.671,—,104.0,99.8,3.57,1993,Western,Houston Rockets*
,49,33,.598,6.0,105.5,102.8,2.21,1993,Western,San Antonio Spurs*
,47,35,.573,8.0,106.2,104.0,1.74,1993,Western,Utah Jazz*
,36,46,.439,19.0,105.2,106.9,-2.14,1993,Western,Denver Nuggets
,19,63,.232,36.0,98.1,105.9,-7.62,1993,Western,Minnesota Timberwolves
,11,71,.134,44.0,99.3,114.5,-14.68,1993,Western,Dallas Mavericks
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1993,Western,Pacific Division
,62,20,.756,—,113.4,106.7,6.27,1993,Western,Phoenix Suns*
,55,27,.671,7.0,108.3,101.3,6.66,1993,Western,Seattle SuperSonics*
,51,31,.622,11.0,108.5,105.4,2.92,1993,Western,Portland Trail Blazers*
,41,41,.500,21.0,107.1,106.8,0.33,1993,Western,Los Angeles Clippers*
,39,43,.476,23.0,104.2,105.5,-1.20,1993,Western,Los Angeles Lakers*
,34,48,.415,28.0,109.9,110.9,-0.94,1993,Western,Golden State Warriors
,25,57,.305,37.0,107.9,111.1,-3.00,1993,Western,Sacramento Kings
New York Knicks*,57,25,.695,—,98.5,91.5,6.48,1994,Eastern,
Orlando Magic*,50,32,.610,7.0,105.7,101.8,3.68,1994,Eastern,
New Jersey Nets*,45,37,.549,12.0,103.2,101.0,2.11,1994,Eastern,
Miami Heat*,42,40,.512,15.0,103.4,100.7,2.40,1994,Eastern,
Boston Celtics,32,50,.390,25.0,100.8,105.1,-4.28,1994,Eastern,
Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,-7.37,1994,Eastern,
Washington Bullets,24,58,.293,33.0,100.4,107.7,-7.13,1994,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1994,Eastern,
Atlanta Hawks*,57,25,.695,—,101.4,96.2,4.94,1994,Eastern,
Chicago Bulls*,55,27,.671,2.0,98.0,94.9,2.87,1994,Eastern,
Indiana Pacers*,47,35,.573,10.0,101.0,97.5,3.26,1994,Eastern,
Cleveland Cavaliers*,47,35,.573,10.0,101.2,97.1,3.64,1994,Eastern,
Charlotte Hornets,41,41,.500,16.0,106.5,106.7,-0.23,1994,Eastern,
Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,-6.24,1994,Eastern,
Detroit Pistons,20,62,.244,37.0,96.9,104.7,-7.46,1994,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1994,Western,Midwest Division
,58,24,.707,—,101.1,96.8,4.19,1994,Western,Houston Rockets*
,55,27,.671,3.0,100.0,94.8,5.05,1994,Western,San Antonio Spurs*
,53,29,.646,5.0,101.9,97.7,4.10,1994,Western,Utah Jazz*
,42,40,.512,16.0,100.3,98.8,1.54,1994,Western,Denver Nuggets*
,20,62,.244,38.0,96.7,103.6,-6.55,1994,Western,Minnesota Timberwolves
,13,69,.159,45.0,95.1,103.8,-8.19,1994,Western,Dallas Mavericks
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1994,Western,Pacific Division
,63,19,.768,—,105.9,96.9,8.68,1994,Western,Seattle SuperSonics*
,56,26,.683,7.0,108.2,103.4,4.68,1994,Western,Phoenix Suns*
