Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year,MVP_Score
320.0,Kris Dunn,29.0,UTA,PG,66.0,32.0,0.5,2.2,4.7,0.47,0.6,1.7,0.369,1.6,3.1,0.525,0.535,0.3,0.5,0.688,0.8,2.1,0.2116788321167883,0.34862385321100914,0.47619047619047616,0.11111111111111112,1.2,2.0,0.15561959654178675,,2024,0.2916868647633981
242.0,Cameron Payne,29.0,PHI,PG,31.0,8.0,0.5132275132275133,3.5,8.4,0.413,1.7,4.4,0.382,1.8,4.0,0.447,0.514,0.7,0.7,0.913,0.5,1.3,0.13138686131386862,0.28440366972477066,0.2857142857142857,0.08333333333333333,1.1,1.7,0.2680115273775216,,2024,0.2915562121215263
281.0,Jordan Goodwin,25.0,2TM,PG,57.0,12.0,0.4894179894179895,2.5,6.7,0.369,0.7,2.5,0.298,1.7,4.2,0.411,0.424,0.8,1.0,0.746,1.5,2.9,0.3211678832116789,0.24770642201834864,0.38095238095238093,0.08333333333333333,1.0,1.3,0.18731988472622477,,2024,0.29103860808418547
382.0,John Konchar,27.0,MEM,SF,55.0,23.0,0.5634920634920636,1.6,3.8,0.423,0.7,2.2,0.317,0.9,1.6,0.568,0.514,0.4,0.5,0.84,1.3,3.4,0.34306569343065696,0.18348623853211007,0.42857142857142855,0.25,0.8,1.4,0.12391930835734868,,2024,0.2904101032750427
207.0,Kevin Love,35.0,MIA,PF,55.0,5.0,0.4444444444444445,2.9,6.5,0.44,1.5,4.4,0.344,1.3,2.1,0.643,0.557,1.5,2.0,0.787,1.1,5.1,0.44525547445255476,0.1926605504587156,0.14285714285714285,0.05555555555555556,0.9,1.8,0.25360230547550433,,2024,0.290400591605498
238.0,Precious Achiuwa,24.0,TOR,C,25.0,0.0,0.462962962962963,3.1,6.8,0.459,0.5,1.9,0.277,2.6,4.9,0.528,0.497,1.0,1.7,0.571,2.0,3.4,0.3941605839416059,0.1651376146788991,0.2857142857142857,0.1388888888888889,1.2,1.6,0.22190201729106626,,2024,0.2896689014534145
362.0,Delon Wright,31.0,MIA,PG,14.0,1.0,0.5396825396825397,1.9,4.7,0.394,0.8,2.1,0.367,1.1,2.6,0.417,0.477,0.9,1.1,0.813,0.4,1.5,0.1386861313868613,0.23853211009174313,0.6666666666666666,0.05555555555555556,0.2,0.7,0.15561959654178675,,2024,0.2884305473923684
195.0,Georges Niang,30.0,CLE,PF,82.0,10.0,0.58994708994709,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,0.24817518248175183,0.11009174311926605,0.19047619047619047,0.05555555555555556,0.9,2.3,0.27089337175792505,,2024,0.2883675337702412
304.0,Ochai Agbaji,23.0,TOR,SG,27.0,18.0,0.6243386243386244,2.7,6.8,0.391,0.6,2.6,0.217,2.1,4.3,0.496,0.432,0.8,1.3,0.611,1.4,1.9,0.24087591240875914,0.11926605504587157,0.3333333333333333,0.16666666666666666,1.1,1.9,0.1930835734870317,,2024,0.2881349373730473
186.0,Jalen Smith,23.0,IND,C,61.0,14.0,0.45502645502645506,3.8,6.5,0.592,1.0,2.4,0.424,2.8,4.1,0.689,0.67,1.2,1.7,0.692,1.8,3.7,0.40145985401459855,0.09174311926605504,0.14285714285714285,0.16666666666666666,0.7,2.0,0.28530259365994237,,2024,0.2874606923974165
